rank,company_name_official,ticker,voting_rights_pct,jpx_market,jpx_sector,business_summary,market_cap_jpy_bn_snapshot_2026-08-14,implied_stake_value_jpy_bn_screening,listing_status_2026-08-14,primary_source,market_data_source,verification_note
14,"HONYAKU Center Inc.",2483,28.4,Standard,Services,"Translation, interpreting, localization and language services",7.30,2.07,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/2483/market-cap/","Verified against JPX July 2026 list"
15,"TOKUDEN CO.,LTD.",3437,26.7,Standard,Metal Products,"Industrial welding and surface modification for machinery parts",4.26,1.14,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3437/market-cap/","Verified against JPX July 2026 list"
16,"TOKEN CORPORATION",1766,26.4,Prime,Construction,"Rental-housing construction, leasing brokerage and property management",146.42,38.65,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/1766/market-cap/","Voting-rights ratio exceeds reported economic ownership because of treasury shares and group entities"
17,"XNET Corporation",4762,26.3,Standard,Information & Communication,"Asset-management systems and operations outsourcing",8.32,2.19,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4762/market-cap/","Verified against JPX July 2026 list"
18,"FORVAL CORPORATION",8275,25.4,Standard,Wholesale Trade,"ICT, digitalization and environmental consulting for SMEs",26.56,6.75,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/8275/market-cap/","Verified against JPX July 2026 list"
19,"Encourage Technologies Co.,Ltd.",3682,25.4,Standard,Information & Communication,"System-operations, security and audit software",3.87,0.98,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3682/market-cap/","Verified against JPX July 2026 list"
20,"Data Applications Company,Limited",3848,25.2,Standard,Information & Communication,"Enterprise data integration and middleware software",5.29,1.33,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3848/market-cap/","Verified against JPX July 2026 list"
21,"SANSEI CO.,LTD.",6307,25.1,Standard,Machinery,"Ship deck machinery, elevators and related maintenance",3.70,0.93,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6307/market-cap/","Verified against JPX July 2026 list"
22,"NISHIKAWA KEISOKU Co.,Ltd.",7500,24.7,Standard,Wholesale Trade,"Measurement and control equipment distribution and engineering",33.31,8.23,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/7500/market-cap/","Verified against JPX July 2026 list"
23,"ARBEIT-TIMES CO.,LTD.",2341,24.4,Standard,Services,"Recruitment advertising, job media and staffing services",2.85,0.70,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/2341/market-cap/","Verified against JPX July 2026 list"
24,"CE Holdings Co.,Ltd.",4320,24.2,Standard,Information & Communication,"Healthcare IT and electronic medical-record systems",27.50,6.66,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4320/market-cap/","Verified against JPX July 2026 list"
25,"Youji Corporation",2152,23.4,Standard,Services,"Child physical education, education and related services",16.38,3.83,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/2152/market-cap/","Verified against JPX July 2026 list"
26,"Inbound Tech Inc.",7031,23.2,Growth,Services,"Multilingual contact-center and sales outsourcing",1.88,0.44,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/7031/market-cap/","Verified against JPX July 2026 list"
27,"S-Pool,Inc.",2471,23.2,Prime,Services,"Business-process outsourcing, staffing and disability-employment services",23.12,5.36,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/2471/market-cap/","Verified against JPX July 2026 list"
28,"ERI HOLDINGS CO.,LTD.",6083,23.0,Standard,Services,"Building inspection, certification and housing evaluation",39.17,9.01,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6083/market-cap/","Verified against JPX July 2026 list"
29,"MARUZEN CO.,LTD.",5982,23.0,Standard,Metal Products,"Automotive and industrial heat exchangers and air-conditioning components",65.12,14.98,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/5982/market-cap/","Verified against JPX July 2026 list"
30,"FAN Communications,Inc.",2461,23.0,Prime,Services,"Affiliate marketing and online advertising platforms",25.82,5.94,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/2461/market-cap/","Verified against JPX July 2026 list"
31,"TVE Co.,Ltd.",6466,22.8,Standard,Machinery,"Industrial valves and maintenance for power and process plants",9.63,2.20,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6466/market-cap/","Verified against JPX July 2026 list"
32,"eREX Co.,Ltd.",9517,22.6,Prime,Electric Power and Gas,"Electricity retail, trading and biomass generation",65.78,14.87,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/9517/market-cap/","Verified against JPX July 2026 list"
33,"AKATSUKI EAZIMA CO.,LTD.",1997,22.5,Standard,Construction,"Water and wastewater construction, machinery and maintenance",7.95,1.79,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/1997/market-cap/","Verified against JPX July 2026 list"
34,"AJIS CO.,LTD.",4659,22.4,Standard,Services,"Inventory counting and retail-support services",37.30,8.36,"Delisted 2026-06-19","https://www.jpx.co.jp/english/news/1023/20260602-11.html","https://stockanalysis.com/quote/tyo/4659/market-cap/","March 2026 affiliate subsequently privatized; displayed market cap is stale and excluded from current SOTP"
35,"Techno Smart Corp.",6246,22.1,Standard,Machinery,"Coating and drying machinery for films, batteries and industrial materials",20.93,4.63,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6246/market-cap/","Verified against JPX July 2026 list"
36,"Tohoku Steel Co.,Ltd.",5484,22.0,Standard,Iron and Steel,"Specialty steel and processed steel products",33.09,7.28,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/5484/market-cap/","Verified against JPX July 2026 list"
37,"RAIZNEXT Corporation",6379,21.2,Prime,Construction,"Refinery and chemical-plant maintenance and engineering",156.35,33.15,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6379/market-cap/","Issuer later reported 21.19% voting rights; large-holding filing showed partial selling in January 2026"
38,"FULLCAST HOLDINGS CO.,LTD.",4848,20.8,Prime,Services,"Short-term staffing and workforce services",64.23,13.36,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4848/market-cap/","Verified against JPX July 2026 list"
39,"Toho Acetylene Co.,Ltd.",4093,20.7,Standard,Chemicals,"Industrial gases, LPG and related equipment",14.82,3.07,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4093/market-cap/","Verified against JPX July 2026 list"
40,"ORIGINAL ENGINEERING CONSULTANTS CO.,LTD.",4642,20.4,Standard,Services,"Sewerage and public-infrastructure engineering consulting",8.53,1.74,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4642/market-cap/","Verified against JPX July 2026 list"
41,"YUASA FUNASHOKU Co.,Ltd.",8006,20.4,Standard,Wholesale Trade,"Food wholesale, rice and hotel operations",27.87,5.69,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/8006/market-cap/","Verified against JPX July 2026 list"
42,"LEOCLAN Co.,Ltd.",7681,20.2,Standard,Wholesale Trade,"Medical-equipment sales and hospital construction support",5.72,1.16,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/7681/market-cap/","Verified against JPX July 2026 list"
