as_of,reporting_segment,business_unit,product_line,product,status,principle_or_form,use_cases,customer_types,key_metrics,pricing_cost_disclosure,source_url
2026-07-25,Network Infrastructure,Fixed Networks,Home Wi-Fi,Beacon 24,continuing,"quad-band Wi-Fi 7 mesh gateway",multi-gigabit homes,"telecom providers; households","up to 24 Gb/s; 10G WAN; 1x10G and 2x2.5G LAN","not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/home-wi-fi/
2026-07-25,Network Infrastructure,IP Networks,Service routing,7750 SR,continuing,"modular IP/MPLS service router",core edge broadband and data center gateway,"telecom; cloud; enterprises","up to about 230 Tb/s FD; 800GE/1.6T clear channel","not disclosed; configuration RFQ",https://www.nokia.com/ip-networks/7750-service-router/
2026-07-25,Network Infrastructure,IP Networks,Service routing,7730 SXR,continuing,"compact service interconnect router",metro aggregation and mobile transport,"telecom; enterprises","3.6-5.6 Tb/s; 1GE-400GE; 256K queues","not disclosed",https://www.nokia.com/ip-networks/7730-sxr/
2026-07-25,Network Infrastructure,IP Networks,Aggregation routing,7705 SAR,continuing,"IP/MPLS service aggregation router",mobile xHaul and critical WAN,"telecom; energy; transport; public safety",multiple rugged and modular variants,"not disclosed",https://www.nokia.com/ip-networks/7705-service-aggregation-router/
2026-07-25,Network Infrastructure,IP Networks,Access switching,7210 SAS,continuing,"Ethernet/IP/MPLS access and aggregation",business access and mobile transport,"telecom; enterprises",compact service-aware platforms,"not disclosed",https://www.nokia.com/ip-networks/7210-service-access-system/
2026-07-25,Network Infrastructure,IP Networks,Routing silicon,FP5,continuing,"programmable network processor",service routing forwarding security and telemetry,"internal Nokia platforms","6 Tb/s; about 0.1 W/Gb; 75% lower power vs FP4 claim","not separately priced",https://www.nokia.com/ip-networks/fp-network-processor-technology/fp5/
2026-07-25,Network Infrastructure,IP Networks,Network OS,SR OS,continuing,"model-driven carrier network operating system",IP/MPLS EVPN QoS and telemetry,"telecom; cloud; critical enterprises",common NOS across service routers,"license terms not disclosed",https://www.nokia.com/ip-networks/service-router-operating-system-nos/
2026-07-25,Network Infrastructure,IP Networks,Network OS,SR Linux,continuing,"Linux-based open model-driven NOS",data center fabric automation,"cloud; AI; enterprises",streaming telemetry and open APIs,"license terms not disclosed",https://www.nokia.com/ip-networks/service-router-linux-NOS/
2026-07-25,Network Infrastructure,IP Networks,Data center switching,7215 IXS,continuing,"fixed Ethernet switch",management and low-speed edge access,"cloud; enterprises","48x1G RJ45 + 4x1/10GE","not disclosed",https://www.nokia.com/data-center-networks/data-center-fabric/7215-interconnect-system/
2026-07-25,Network Infrastructure,IP Networks,Data center switching,7220 IXR,continuing,"high-capacity leaf/spine router",AI and cloud data center fabric,"AI; cloud; enterprises","up to 102.4 Tb/s; 1.6TE support","not disclosed",https://www.nokia.com/data-center-networks/data-center-fabric/7220-interconnect-router/
2026-07-25,Network Infrastructure,IP Networks,Data center switching,7250 IXR,continuing,"high-capacity interconnect router",hyperscale AI fabric and DCI,"AI; cloud","up to 460.8 Tb/s","not disclosed",https://www.nokia.com/data-center-networks/data-center-fabric/7250-interconnect-router/
2026-07-25,Network Infrastructure,IP Networks,Data center automation,EDA,continuing,"Kubernetes; intent; digital twin; event-driven transactions",design validation deployment and change automation,"AI; cloud; enterprises","up to 40% operations work reduction claim","software pricing not disclosed",https://www.nokia.com/data-center-networks/data-center-fabric/event-driven-automation/
2026-07-25,Network Infrastructure,IP Networks,WAN automation,NSP,continuing,"multivendor IP optical and microwave control and orchestration",service provisioning path control and assurance,"telecom; enterprises","deployed by 1000+ operators","software pricing not disclosed",https://www.nokia.com/ip-networks/network-services-platform/
2026-07-25,Network Infrastructure,IP Networks,DDoS intelligence,Deepfield Secure Genome,continuing,"ML-based internet endpoint and threat classification",traffic engineering and attack detection,"telecom; cloud","5bn+ addresses; 100+ ML rules; hourly updates","subscription not disclosed",https://www.nokia.com/ip-networks/deepfield/genome/
2026-07-25,Network Infrastructure,IP Networks,DDoS mitigation,Deepfield Defender and Genome Shield,continuing,"seconds-level detection and in-network mitigation policies",self-protection and DDoS-as-a-Service,"telecom; cloud",Nokia or third-party router mitigation,"subscription/capacity pricing not disclosed",https://www.nokia.com/ip-networks/deepfield/defender/
2026-07-25,Network Infrastructure,Optical Networks,Optical transport,1830 PSS,continuing,"packet OTN and WDM transport chassis",metro regional long-haul and subsea,"telecom; cloud; enterprises","PSS-4II/8/16II/32/HC","not disclosed; configuration RFQ",https://www.nokia.com/optical-networks/1830-photonic-service-switch/
2026-07-25,Network Infrastructure,Optical Networks,Data center interconnect,1830 GX,continuing,"compact coherent optical transport",AI/cloud DCI and open line systems,"AI; cloud; telecom","100G-1.2T/wavelength; 9.6T/rack; up to 100T/fiber","not disclosed",https://www.nokia.com/optical-networks/1830-global-express/
2026-07-25,Network Infrastructure,Optical Networks,Optical line system,FlexILS and PSS/PSI-L,continuing,"open line system with amplification and ROADM",multivendor coherent metro and long-haul,"telecom; cloud",flex-grid optical layer,"not disclosed",https://www.nokia.com/optical-networks/1830-flexible-intelligent-line-system/
2026-07-25,Network Infrastructure,Optical Networks,Pluggable coherent optics,ICE-X 100G/400G,continuing,"router-pluggable coherent optical module",coherent routing and DCI,"telecom; cloud","reach up to about 1500 km","not disclosed",https://www.nokia.com/optical-networks/icex-100g-400g-pluggable-coherent-optics/
2026-07-25,Network Infrastructure,Optical Networks,Pluggable coherent optics,ICE-X 800,continuing,"3nm coherent pluggable in QSFP-DD800 or OSFP",AI DCI and IP-over-DWDM,"AI; cloud; telecom","800G over 1700+ km claim","not disclosed",https://www.nokia.com/optical-networks/icex-800g-zr-zr-plus/
2026-07-25,Network Infrastructure,Optical Networks,Intra-data-center optics,ICE-D,continuing,"monolithic InP PIC optical interconnect",GPU/AI scale-out networks,"AI; cloud","up to 75% interconnect power reduction claim","volume price not disclosed",https://www.nokia.com/optical-networks/ice-d-intra-datacenter/
2026-07-25,Network Infrastructure,Optical Networks,Coherent DSP,Tahoe 800G DSP,continuing,"3nm coherent digital signal processor",merchant coherent modules,"optical module makers","200G-800G; up to 135 GBaud","B2B price not disclosed",https://www.nokia.com/optical-networks/coherent-digital-signal-processors/
2026-07-25,Network Infrastructure,Optical Networks,Coherent DSP,WA'A 400G DSP,continuing,"coherent digital signal processor",edge and metro pluggables,"optical module makers","100/200/400G; up to 71 GBaud","B2B price not disclosed",https://www.nokia.com/optical-networks/coherent-digital-signal-processors/
2026-07-25,Network Infrastructure,Optical Networks,Optical automation,WaveSuite,continuing,"optical service automation analytics and bandwidth-on-demand",provisioning health and operations,"telecom; cloud","up to 56% network opex and 90% new-service opex reduction claims","software price not disclosed",https://www.nokia.com/optical-networks/wavesuite/
2026-07-25,Mobile Infrastructure,Core Software,Packet core,Cloud Packet Core,continuing,"cloud-native control and user plane functions",4G/5G SA FWA and edge,"telecom providers",supports converged multi-access evolution,"capacity/license price not disclosed",https://www.nokia.com/core-networks/cloud-packet-core/
2026-07-25,Mobile Infrastructure,Core Software,Subscriber data,Subscriber Data Management,continuing,"shared identity subscription and authentication data layer",multi-generation mobile and fixed convergence,"telecom providers",HSS One-NDS SDL and AAA portfolio,"not disclosed",https://www.nokia.com/core-networks/subscriber-data-management/
2026-07-25,Mobile Infrastructure,Core Software,Voice core,VoLTE VoWiFi and Vo5G core,continuing,"IMS session control SBC and application services",legacy voice shutdown and 5G voice,"telecom providers",VoLTE/VoWiFi/VoNR evolution,"not disclosed",https://www.nokia.com/core-networks/voice-over-5g-vo5g-core/
2026-07-25,Mobile Infrastructure,Core Software,Monetization,Converged Charging and Policy,continuing,"real-time/offline charging linked to service policy",prepaid postpaid slicing and differentiated connectivity,"telecom providers",convergent charging across access types,"not disclosed",https://www.nokia.com/core-networks/converged-charging/
2026-07-25,Mobile Infrastructure,Core Software,Network exposure,NEF,continuing,"secured API exposure of network capabilities",identity fraud location quality and developer APIs,"telecom; developers; enterprises",3GPP network exposure function,"not disclosed",https://www.nokia.com/core-networks/network-exposure-function/
2026-07-25,Mobile Infrastructure,Core Software,Core SaaS,Core SaaS,continuing,"on-demand subscription operated and maintained by Nokia",outsourced core deployment and operations,"telecom providers",pre-integrated subscription delivery,"subscription rates not disclosed",https://www.nokia.com/core-networks/
2026-07-25,Mobile Infrastructure,Radio Networks,Baseband,AirScale Baseband,continuing,"digital baseband processing and scheduling",multi-generation macro RAN,"telecom providers",software-upgradeable capacity platform,"site/capacity pricing not disclosed",https://www.nokia.com/radio-access/baseband/
2026-07-25,Mobile Infrastructure,Radio Networks,Macro radio,Doksuri and Osprey RRH,continuing,"remote radio converts digital baseband and RF near antenna",macro coverage and modernization,"telecom providers",">30% efficiency and up to 25% weight reduction claims for Doksuri","not disclosed",https://www.nokia.com/radio-access/macro-radios/
2026-07-25,Mobile Infrastructure,Radio Networks,Massive MIMO,Habrok and Osprey,continuing,"active antenna beamforming with many transceiver chains",urban 5G capacity and coverage,"telecom providers",32TRX and 64TRX variants,"not disclosed",https://www.nokia.com/radio-access/macro-radios/massive-mimo/
2026-07-25,Mobile Infrastructure,Radio Networks,Small cells,Kolibri Shikra and Smart Node,continuing,"low-power compact radio nodes",indoor outdoor strand mmWave and home coverage,"telecom; enterprises; households",multiple indoor/outdoor form factors,"not disclosed",https://www.nokia.com/radio-access/small-cells/
2026-07-25,Mobile Infrastructure,Radio Networks,Cloud/Open RAN,anyRAN,continuing,"baseband functions on cloud with open interfaces",vendor choice and cloud/AI-RAN,"telecom providers",Cloud RAN Open RAN and Cloud AI-RAN,"integration and license cost not disclosed",https://www.nokia.com/radio-access/anyran/
2026-07-25,Mobile Infrastructure,Radio Networks,RAN automation,MantaRay SMO and AutoPilot,continuing,"SMO plus AI closed-loop rApps",configuration assurance congestion and energy optimization,"telecom providers","TM Forum Level 4 claim; 30% cell-utilization case result","not disclosed",https://www.nokia.com/mobile-networks/ran-operations/mantaray-autopilot/
2026-07-25,Mobile Infrastructure,Technology Standards,Patent licensing,Mobile device patents,continuing,"bilateral or pool license to cellular SEP portfolio",phones tablets and cellular devices,"device manufacturers",2G-5G standards portfolio,"contract rates confidential/not disclosed",https://www.nokia.com/licensing/patents/mobile-devices/
2026-07-25,Mobile Infrastructure,Technology Standards,Patent licensing,Automotive patents,continuing,"bilateral or pool license to cellular SEP portfolio",connected vehicles,"automakers; Tier 1; module vendors",cellular connectivity SEP,"contract rates not disclosed",https://www.nokia.com/licensing/patents/automotive/
2026-07-25,Mobile Infrastructure,Technology Standards,Patent licensing,IoT patents,continuing,"license to cellular and related patents",consumer and industrial IoT,"device manufacturers",device-category programs,"contract rates not disclosed",https://www.nokia.com/licensing/patents/IoT/
2026-07-25,Mobile Infrastructure,Technology Standards,Multimedia,IVAS codec,continuing,"3GPP spatial voice codec preserving audio and spatial metadata",immersive calling conferencing XR and industrial collaboration,"operators; device/app makers","13.2-512 kbps; 32-38 ms algorithmic delay","license/SDK price not disclosed",https://www.nokia.com/multimedia/audio/technology-and-standards/ivas-codec/
2026-07-25,Mobile Infrastructure,Technology Standards,Multimedia,Immersive Voice platform,continuing,"microphone analysis to MASA; IVAS transport; spatial AEC and rendering",test/evaluation for calls conference and XR,"operators; device/app makers",test and evaluation platform,"price not disclosed",https://www.nokia.com/multimedia/audio/immersive-voice/platform/
2026-07-25,Mobile Infrastructure,Technology Standards,Multimedia,RXRM and 5G 360 Camera,continuing,"real-time multisensor 360 capture and 5G transmission",industrial monitoring remote operations media and public safety,"enterprises; public sector; media",integrated camera/microphone/5G system,"price not disclosed",https://www.nokia.com/multimedia/rxrm/5g-360-camera/
2026-07-25,Portfolio Businesses,Microwave Radio,Microwave radios,Wavence UBT family,continuing-strategic-review,"full-outdoor point-to-point microwave radios",wireless backhaul where fiber is costly or unavailable,"telecom; critical enterprises","direct base-station connection; high output/system gain claims","not disclosed",https://www.nokia.com/microwave-transport/
2026-07-25,Portfolio Businesses,Microwave Radio,E-band,Wavence urban E-band,continuing-strategic-review,"high-frequency point-to-point wireless transport",urban 5G enterprise and critical services,"telecom; enterprises",up to 20 Gb/s,"not disclosed",https://www.nokia.com/microwave-transport/
2026-07-25,Portfolio Businesses,Microwave Radio,Long-haul,Wavence long-haul,continuing-strategic-review,"high-power and multiband microwave links",islands offshore rural and difficult terrain,"telecom; transport; public sector",up to 10 Gb/s over very long distances claim,"not disclosed",https://www.nokia.com/microwave-transport/
2026-07-25,Portfolio Businesses,Microwave Radio,Microwave switching,MSS family and MSS-400,continuing-strategic-review,"packet microwave service switch",tail sites through multidirectional trunking,"telecom; critical enterprises",compact to large multiband configurations,"not disclosed",https://www.nokia.com/microwave-transport/
2026-07-25,Discontinued operations,Fixed Wireless Access CPE,FWA gateway,FastMile Gateway 12,discontinued-agreed-sale-to-Inseego,"indoor 5G receiver and Wi-Fi gateway",home broadband over mobile spectrum,"telecom; households","8Rx; up to 8 dBi; Wi-Fi 7","not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/fastmile-fwa/5g-gateway-12/
2026-07-25,Discontinued operations,Fixed Wireless Access CPE,FWA receiver,FastMile Receiver 7,discontinued-agreed-sale-to-Inseego,"outdoor 5G receiver with PoE Ethernet",weak indoor signal and rural FWA,"telecom; households","18 dBi; 4-carrier aggregation; 2.5G PoE","not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/fastmile-fwa/5g-receiver-7/
2026-07-25,Discontinued operations,Fixed Wireless Access CPE,mmWave FWA,FastMile mmWave Receiver,discontinued-agreed-sale-to-Inseego,"outdoor mmWave CPE with wide field of view",high-capacity and selected rural FWA,"telecom; households","26 dBi; 360-degree field; 10+ km suitable-rural claim","not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/fastmile-fwa/5g-mmwave-fwa/
2026-07-25,Nokia Defense,Nokia Defense,Tactical radio,Banshee family,incubation-unit,"deployable tactical 4G/broadband radio network",vehicles temporary bases and contested environments,"defense; public safety",4G Mobile Flex and Tactical variants,"not disclosed",https://www.nokia.com/defense/tactical-communications-solutions/
2026-07-25,Nokia Defense,Nokia Defense,MANET,Talon PUC,incubation-unit,"2.4GHz self-forming self-healing MANET and IP bridge",backup/local network for phones sensors and ATAK,"defense; public safety","up to 16h typical; radio 113.5g","described low-cost; amount not disclosed",https://www.nokia.com/defense/tactical-communications-solutions/talon-puc/
2026-07-25,Nokia Defense,Nokia Defense,Rugged device,Mission-Safe Phone,incubation-unit,"hardened encrypted 4G/5G smartphone",mission-critical communications,"defense; public safety","MIL-STD-810H; IP68; 4500mAh; 270g","described commercial-smartphone cost; amount not disclosed",https://www.nokia.com/defense/tactical-communications-solutions/mission-safe-phone/
2026-07-25,Cross-domain,Multiple,Autonomous operations,Digital Operations Center,solution-area,"orchestration assurance and unified inventory over shared resource model",order-to-activate and closed-loop operations,"telecom providers",Orchestration Center Assurance Center Unified Inventory,"not disclosed",https://www.nokia.com/autonomous-networks/digital-operations-center/
2026-07-25,Cross-domain,Multiple,Network APIs,Network as Code,solution-area,"secured aggregation and exposure of operator APIs",identity fraud location quality drones media and automotive,"operators; developers; enterprises",developer and partner ecosystem,"commercial terms not disclosed",https://www.nokia.com/programmable-networks/network-as-code/
2026-07-25,Cross-domain,Multiple,Cybersecurity,NetGuard XDR portfolio,solution-area,"telemetry correlation detection response identity endpoint and certificate controls",telecom and critical infrastructure security,"telecom; enterprises; public sector",Cybersecurity Dome CLM CM EDR IAM,"subscription/license price not disclosed",https://www.nokia.com/cybersecurity/xdr/
